Year,Month,County,Beneficiaries, Benefit_Amounts_Dollars
2001,5,Ulster,"1,400","$1,150,000 "
2001,5,Westchester,"6,600","$7,140,000 "
2001,5,Nassau,"10,000","$10,970,000 "
2001,5,Suffolk,"11,700","$12,210,000 "
2001,5,Fulton,600,"$400,000 "
2001,5,Herkimer,900,"$610,000 "
2001,5,Montgomery,700,"$500,000 "
2001,5,Oneida,"2,900","$2,420,000 "
2001,5,Otsego,600,"$400,000 "
2001,5,Schoharie,200,"$170,000 "
2001,5,Bronx,"13,400","$12,070,000 "
2001,5,Kings,"26,100","$24,420,000 "
2001,5,New York,"20,400","$22,680,000 "
2001,5,Queens,"20,700","$20,130,000 "
2001,5,Richmond,"3,600","$3,880,000 "
2001,5,Clinton,900,"$650,000 "
2001,5,Essex,500,"$330,000 "
2001,5,Franklin,800,"$650,000 "
2001,5,Hamilton,100,"$50,000 "
2001,5,Jefferson,"1,700","$1,390,000 "
2001,5,Lewis,700,"$640,000 "
2001,5,St. Lawrence,"2,000","$1,470,000 "
2001,5,Broome,"2,000","$1,490,000 "
2001,5,Chemung,"1,000","$800,000 "
2001,5,Chenango,600,"$480,000 "
2001,5,Delaware,400,"$290,000 "
2001,5,Schuyler,400,"$210,000 "
2001,5,Steuben,"1,400","$1,100,000 "
2001,5,Tioga,600,"$390,000 "
2001,5,Tompkins,600,"$360,000 "
2001,5,Allegany,600,"$410,000 "
2001,5,Cattaraugus,"1,400","$980,000 "
2001,5,Chautauqua,"2,600","$1,400,000 "
2001,5,Erie,"12,700","$10,330,000 "
2001,5,Niagara,"3,900","$3,300,000 "
2001,5,Out-of-State,"17,300","$21,060,000 "
2001,5,Unknown,"1,500","$1,610,000 "
2001,6,Albany,"1,900","$1,590,000 "
2001,6,Columbia,300,"$280,000 "
2001,6,Greene,400,"$300,000 "
2001,6,Rensselaer,"1,300","$1,040,000 "
2001,6,Saratoga,"1,400","$1,220,000 "
2001,6,Schenectady,900,"$800,000 "
2001,6,Warren,500,"$340,000 "
2001,6,Washington,500,"$320,000 "
2001,6,Cayuga,900,"$600,000 "
2001,6,Cortland,400,"$330,000 "
2001,6,Madison,900,"$620,000 "
2001,6,Onondaga,"4,700","$3,660,000 "
2001,6,Oswego,"2,000","$1,620,000 "
2001,6,Genesee,700,"$500,000 "
2001,6,Livingston,700,"$520,000 "
2001,6,Monroe,"7,300","$6,340,000 "
2001,6,Ontario,"1,000","$740,000 "
2001,6,Orleans,500,"$330,000 "
2001,6,Seneca,400,"$220,000 "
2001,6,Wayne,"1,100","$810,000 "
2001,6,Wyoming,500,"$320,000 "
2001,6,Yates,200,"$120,000 "
2001,6,Dutchess,"1,900","$1,650,000 "
2001,6,Orange,"2,200","$2,040,000 "
2001,6,Putnam,600,"$650,000 "
2001,6,Rockland,"1,600","$1,670,000 "
2001,6,Sullivan,600,"$500,000 "
2001,6,Ulster,"1,500","$1,140,000 "
2001,6,Westchester,"6,900","$7,000,000 "
2001,6,Nassau,"10,000","$10,220,000 "
2001,6,Suffolk,"11,500","$11,480,000 "
2001,6,Fulton,500,"$320,000 "
2001,6,Herkimer,700,"$430,000 "
2001,6,Montgomery,700,"$440,000 "
2001,6,Oneida,"2,600","$2,080,000 "
2001,6,Otsego,500,"$320,000 "
2001,6,Schoharie,200,"$160,000 "
2001,6,Bronx,"13,300","$11,250,000 "
2001,6,Kings,"26,000","$23,520,000 "
2001,6,New York,"21,400","$22,440,000 "
2001,6,Queens,"20,200","$19,120,000 "
2001,6,Richmond,"3,700","$3,800,000 "
2001,6,Clinton,800,"$550,000 "
2001,6,Essex,300,"$210,000 "
2001,6,Franklin,700,"$490,000 "
2001,6,Hamilton,0,"$10,000 "
2001,6,Jefferson,"1,500","$1,210,000 "
2001,6,Lewis,500,"$470,000 "
2001,6,St. Lawrence,"1,600","$1,300,000 "
2001,6,Broome,"2,100","$1,460,000 "
2001,6,Chemung,"1,000","$740,000 "
2001,6,Chenango,500,"$390,000 "
2001,6,Delaware,300,"$230,000 "
2001,6,Schuyler,200,"$170,000 "
2001,6,Steuben,"1,200","$930,000 "
2001,6,Tioga,700,"$450,000 "
2001,6,Tompkins,500,"$360,000 "
2001,6,Allegany,400,"$310,000 "
2001,6,Cattaraugus,"1,300","$830,000 "
2001,6,Chautauqua,"2,400","$1,180,000 "
2001,6,Erie,"11,100","$8,730,000 "
2001,6,Niagara,"3,500","$2,790,000 "
2001,6,Out-of-State,"17,900","$20,650,000 "
2001,6,Unknown,"1,400","$1,340,000 "
2001,7,Albany,"2,000","$1,940,000 "
2001,7,Columbia,400,"$360,000 "
2001,7,Greene,500,"$370,000 "
2001,7,Rensselaer,"1,600","$1,420,000 "
2001,7,Saratoga,"1,500","$1,430,000 "
2001,7,Schenectady,"1,100","$990,000 "
2001,7,Warren,500,"$390,000 "
2001,7,Washington,500,"$430,000 "
2001,7,Cayuga,"1,000","$730,000 "
2001,7,Cortland,600,"$420,000 "
2001,7,Madison,900,"$730,000 "
2001,7,Onondaga,"5,400","$4,750,000 "
2001,7,Oswego,"2,200","$1,910,000 "
2001,7,Genesee,800,"$630,000 "
2001,7,Livingston,800,"$660,000 "
2001,7,Monroe,"8,900","$8,340,000 "
2001,7,Ontario,"1,000","$870,000 "
2001,7,Orleans,600,"$450,000 "
2001,7,Seneca,500,"$260,000 "
2001,7,Wayne,"1,400","$1,160,000 "
2001,7,Wyoming,600,"$420,000 "
2001,7,Yates,200,"$140,000 "
2001,7,Dutchess,"2,200","$2,220,000 "
2001,7,Orange,"2,600","$2,610,000 "
2001,7,Putnam,800,"$910,000 "
2001,7,Rockland,"2,200","$2,380,000 "
2001,7,Sullivan,600,"$580,000 "
2001,7,Ulster,"1,900","$1,470,000 "
2001,7,Westchester,"8,200","$9,280,000 "
2001,7,Nassau,"12,200","$13,690,000 "
2001,7,Suffolk,"15,400","$16,170,000 "
2001,7,Fulton,600,"$400,000 "
2001,7,Herkimer,600,"$490,000 "
2001,7,Montgomery,700,"$490,000 "
2001,7,Oneida,"2,700","$2,400,000 "
2001,7,Otsego,500,"$370,000 "
2001,7,Schoharie,300,"$200,000 "
2001,7,Bronx,"15,200","$14,550,000 "
2001,7,Kings,"30,200","$30,180,000 "
2001,7,New York,"23,800","$27,930,000 "
2001,7,Queens,"23,100","$24,360,000 "
2001,7,Richmond,"4,800","$5,430,000 "
2001,7,Clinton,800,"$570,000 "
2001,7,Essex,300,"$220,000 "
2001,7,Franklin,600,"$500,000 "
2001,7,Hamilton,0,"$10,000 "
2001,7,Jefferson,"1,400","$1,350,000 "
2001,7,Lewis,500,"$490,000 "
2001,7,St. Lawrence,"1,500","$1,340,000 "
2001,7,Broome,"2,600","$2,060,000 "
2001,7,Chemung,"1,200","$1,040,000 "
2001,7,Chenango,600,"$510,000 "
2001,7,Delaware,300,"$290,000 "
2001,7,Schuyler,300,"$270,000 "
2001,7,Steuben,"1,500","$1,260,000 "
2001,7,Tioga,800,"$670,000 "
2001,7,Tompkins,500,"$430,000 "
2001,7,Allegany,500,"$340,000 "
2001,7,Cattaraugus,"1,500","$1,070,000 "
2001,7,Chautauqua,"2,900","$1,800,000 "
2001,7,Erie,"13,600","$11,550,000 "
2001,7,Niagara,"4,200","$3,590,000 "
2001,7,Out-of-State,"20,200","$26,540,000 "
2001,7,Unknown,"1,300","$1,500,000 "
2001,8,Albany,"2,000","$1,650,000 "
2001,8,Columbia,300,"$300,000 "
2001,8,Greene,400,"$310,000 "
2001,8,Rensselaer,"1,500","$1,220,000 "
2001,8,Saratoga,"1,500","$1,320,000 "
2001,8,Schenectady,"1,000","$860,000 "
2001,8,Warren,600,"$480,000 "
2001,8,Washington,800,"$560,000 "
2001,8,Cayuga,900,"$650,000 "
2001,8,Cortland,800,"$540,000 "
2001,8,Madison,800,"$620,000 "
2001,8,Onondaga,"5,100","$4,220,000 "
2001,8,Oswego,"2,000","$1,510,000 "
2001,8,Genesee,700,"$520,000 "
2001,8,Livingston,700,"$520,000 "
2001,8,Monroe,"9,000","$7,520,000 "
2001,8,Ontario,"1,000","$770,000 "
2001,8,Orleans,600,"$370,000 "
2001,8,Seneca,400,"$230,000 "
2001,8,Wayne,"1,400","$1,030,000 "
2001,8,Wyoming,500,"$320,000 "
2001,8,Yates,200,"$110,000 "
2001,8,Dutchess,"2,200","$2,020,000 "
2001,8,Orange,"2,700","$2,320,000 "
2001,8,Putnam,700,"$780,000 "
2001,8,Rockland,"2,200","$2,200,000 "
2001,8,Sullivan,500,"$470,000 "
2001,8,Ulster,"1,700","$1,360,000 "
2001,8,Westchester,"8,100","$8,470,000 "
2001,8,Nassau,"12,300","$13,330,000 "
2001,8,Suffolk,"15,600","$15,650,000 "
2001,8,Fulton,500,"$350,000 "
2001,8,Herkimer,500,"$380,000 "
2001,8,Montgomery,600,"$390,000 "
2001,8,Oneida,"2,400","$1,890,000 "
2001,8,Otsego,400,"$300,000 "
2001,8,Schoharie,200,"$160,000 "
2001,8,Bronx,"15,500","$13,710,000 "
2001,8,Kings,"30,900","$29,500,000 "
2001,8,New York,"24,300","$27,250,000 "
2001,8,Queens,"23,100","$23,080,000 "
2001,8,Richmond,"5,000","$5,190,000 "
2001,8,Clinton,600,"$440,000 "
2001,8,Essex,300,"$180,000 "
2001,8,Franklin,500,"$360,000 "
2001,8,Hamilton,0,"$10,000 "
2001,8,Jefferson,"1,400","$1,090,000 "
2001,8,Lewis,400,"$280,000 "
2001,8,St. Lawrence,"1,500","$1,030,000 "
2001,8,Broome,"2,700","$1,900,000 "
2001,8,Chemung,"1,200","$940,000 "
2001,8,Chenango,600,"$450,000 "
2001,8,Delaware,300,"$240,000 "
2001,8,Schuyler,300,"$220,000 "
2001,8,Steuben,"1,300","$1,040,000 "
2001,8,Tioga,600,"$470,000 "
2001,8,Tompkins,500,"$430,000 "
2001,8,Allegany,400,"$260,000 "
2001,8,Cattaraugus,"1,400","$830,000 "
2001,8,Chautauqua,"2,600","$1,440,000 "
2001,8,Erie,"12,400","$9,610,000 "
2001,8,Niagara,"3,700","$2,880,000 "
2001,8,Out-of-State,"20,500","$25,080,000 "
2001,8,Unknown,"1,200","$1,320,000 "
2001,9,Albany,"1,900","$1,460,000 "
2001,9,Columbia,300,"$260,000 "
2001,9,Greene,400,"$270,000 "
2001,9,Rensselaer,"1,400","$1,080,000 "
2001,9,Saratoga,"1,500","$1,370,000 "
2001,9,Schenectady,"1,000","$780,000 "
2001,9,Warren,700,"$660,000 "
2001,9,Washington,700,"$630,000 "
2001,9,Cayuga,800,"$560,000 "
2001,9,Cortland,500,"$350,000 "
2001,9,Madison,700,"$520,000 "
2001,9,Onondaga,"4,800","$3,920,000 "
2001,9,Oswego,"2,000","$1,450,000 "
2001,9,Genesee,800,"$530,000 "
2001,9,Livingston,600,"$460,000 "
2001,9,Monroe,"8,700","$7,030,000 "
2001,9,Ontario,"1,000","$800,000 "
2001,9,Orleans,600,"$380,000 "
2001,9,Seneca,300,"$200,000 "
2001,9,Wayne,"1,300","$970,000 "
